doi,title,halId,duplicated
,10 years of IASI CO retrievals,insu-01969098,True
,10 years of IASI CO retrievals,insu-01967713,True
,Application of a synergistic framework to airborne radar-lidar measurements to retrieve ice cloud microphysics,insu-01569589,True
,Application of a synergistic framework to airborne radar-lidar measurements to retrieve ice cloud microphysics,insu-01565255,True
,"Assessing residents' preferences for sewer network asset management in France,Evaluation de la préférences des habitants pour la gestion patrimoniale des réseaux d'assainissement en France",hal-02606967,True
,"Assessing residents' preferences for sewer network asset management in France,Evaluation de la préférences des habitants pour la gestion patrimoniale des réseaux d'assainissement en France",hal-02606968,True
,Assessment of future climatic conditions in French vineyards. Consequences for defining adaptation strategies.,hal-01340847,True
,Assessment of future climatic conditions in French vineyards. Consequences for defining adaptation strategies.,hal-02743075,True
,Better at Home than in Prison ? The Effects of Electronic Monitoring on Recidivism in France,halshs-01251347,True
,Better at Home than in Prison ? The Effects of Electronic Monitoring on Recidivism in France,halshs-01421030,True
,Better at Home than in Prison ? The Effects of Electronic Monitoring on Recidivism in France,halshs-01421020,True
,Better at Home than in Prison ? The Effects of Electronic Monitoring on Recidivism in France,halshs-01261559,True
,Chimie organique,hal-02385808,True
,Chimie organique,hal-02385831,True
,"Composition\, seasonal change and bathymetry of Ligeia Mare\, Titan\, derived from its 2.2-cm thermal emission",insu-01211601,True
,"Composition\, seasonal change and bathymetry of Ligeia Mare\, Titan\, derived from its 2.2-cm thermal emission",insu-01246645,True
,Cross-polar transport and scavenging of Siberian aerosols containing black carbon during the 2012 ACCESS summer campaign,insu-01564611,True
,Cross-polar transport and scavenging of Siberian aerosols containing black carbon during the 2012 ACCESS summer campaign,insu-01567802,True
,Distribution and Time Evolution of the Ozone Instantaneous Longwave Radiative Effect from IASI and TES Observations,insu-01160267,True
,Distribution and Time Evolution of the Ozone Instantaneous Longwave Radiative Effect from IASI and TES Observations,insu-01159021,True
,Droit de la consommation,halshs-02215419,True
,Droit de la consommation,halshs-02214610,True
,Droit de la consommation,halshs-02216061,True
,Droit de la consommation,halshs-02450097,True
,Droit des biens,halshs-02215553,True
,Droit des biens,halshs-02216355,True
,Droit des biens,halshs-01844163,True
,Droit des biens,halshs-02214924,True
,Droit des biens,halshs-02450227,True
,Droit des étrangers et de la nationalité,halshs-02216029,True
,Droit des étrangers et de la nationalité,halshs-02214578,True
,Droit des étrangers et de la nationalité,halshs-02450062,True
,Droit des étrangers et de la nationalité,halshs-02215383,True
,Droit des étrangers et de la nationalité,halshs-01843901,True
,Droit international privé,halshs-02215468,True
,Droit international privé,halshs-02214725,True
,Droit international privé,halshs-02216155,True
,Droit international privé,halshs-02450143,True
,Droit international privé,halshs-01844195,True
,Evidence for Convective Invigoration from A-Train Observations,insu-01448611,True
,Evidence for Convective Invigoration from A-Train Observations,insu-01254940,True
,Excitonic emission of hybrid lead iodide perovskite single crystals.,hal-01556305,True
,Excitonic emission of hybrid lead iodide perovskite single crystals.,hal-01556301,True
,Fast growth of monocrystalline thin films of 2D layered hybrid perovskite,hal-01668288,True
,Fast growth of monocrystalline thin films of 2D layered hybrid perovskite,hal-01556307,True
,Gérer les conflits inter-organisationnels dans les alliances stratégiques internationales : prévenir ou guérir ?,hal-02789310,True
,Gérer les conflits inter-organisationnels dans les alliances stratégiques internationales : prévenir ou guérir ?,hal-02437658,True
,IASI satellite observation of pollutants: best of 2017-2018,insu-01968276,True
,IASI satellite observation of pollutants: best of 2017-2018,insu-01970483,True
,Income inequality and environmental quality in China: A semi-parametric analysis applied to provincial panel data,hal-02147879,True
,Income inequality and environmental quality in China: A semi-parametric analysis applied to provincial panel data,hal-02147889,True
,Income inequality and environmental quality in China: A semi-parametric analysis applied to provincial panel data,hal-02147917,True
,Income inequality and environmental quality in China: A semi-parametric analysis applied to provincial panel data,hal-02147929,True
,Influence of iron corrosion on nuclear glass alteration processes: nanoscale investigations of the iron-containing phases,cea-02331789,True
,Influence of iron corrosion on nuclear glass alteration processes: nanoscale investigations of the iron-containing phases,cea-02331802,True
,L'union du droit à la protection des données à caractère personnel et du droit à la vie privée,halshs-02448611,True
,L'union du droit à la protection des données à caractère personnel et du droit à la vie privée,halshs-02449219,True
,Le bagne colonial de Guyane française (XIXe-XXe siècles) : les transportés au camp de la transportation de Saint-Laurent-du-Maroni,hal-02906413,True
,Le bagne colonial de Guyane française (XIXe-XXe siècles) : les transportés au camp de la transportation de Saint-Laurent-du-Maroni,hal-02507583,True
,L’impact du défaut de qualité sur l’économie de la culture au Cameroun.,halshs-01885599,True
,L’impact du défaut de qualité sur l’économie de la culture au Cameroun.,halshs-01886553,True
,Mars Express science highlights and future plans,insu-02333695,True
,Mars Express science highlights and future plans,insu-01915451,True
,Mars Express science highlights and future plans,insu-01622451,True
,Metallic ZnO nanocrystals for Mid IR plasmonics,hal-01875130,True
,Metallic ZnO nanocrystals for Mid IR plasmonics,hal-02269801,True
,New methodology of ICP-MS for femtosecond laser ablation for direct dating of ostrich eggshells via U-series disequilibrium,hal-01841710,True
,New methodology of ICP-MS for femtosecond laser ablation for direct dating of ostrich eggshells via U-series disequilibrium,hal-01841729,True
,Policy analysis in France,halshs-01674756,True
,Policy analysis in France,hal-01693040,True
,SEP2P: Secure and Efficient P2P Personal Data Processing,hal-02269222,True
,SEP2P: Secure and Efficient P2P Personal Data Processing,hal-02269216,True
,SEP2P: Secure and Efficient P2P Personal Data Processing,hal-01949641,True
,Spectrum of deformed random matrices and free probability,hal-01346371,True
,Spectrum of deformed random matrices and free probability,hal-01973658,True
,Three-dimensional distribution of a major Saharan dust outbreak in June 2011 derived from IASI satellite observations,insu-01306503,True
,Three-dimensional distribution of a major Saharan dust outbreak in June 2011 derived from IASI satellite observations,insu-01313153,True
,Transport of aerosols and trace gases into the upper troposphere during the peak Asian monsoon period in summer 2017,insu-02461554,True
,Transport of aerosols and trace gases into the upper troposphere during the peak Asian monsoon period in summer 2017,insu-02461585,True
,Travailler sur les représentations du patrimoine : le cas des programmes de télévision,hal-01514064,True
,Travailler sur les représentations du patrimoine : le cas des programmes de télévision,halshs-01324334,True
,Trustworthy Distributed Computations on Personal Data Using Trusted Execution Environments,hal-02269200,True
,Trustworthy Distributed Computations on Personal Data Using Trusted Execution Environments,hal-02269211,True
,Using digital elevation models and image processing to follow clod evolution under rainfall,hal-01698492,True
,Using digital elevation models and image processing to follow clod evolution under rainfall,insu-01767620,True
,VESPA: Developing the Planetary Science Virtual Observatory in H2020,insu-01248550,True
,VESPA: Developing the Planetary Science Virtual Observatory in H2020,insu-01211164,True
,Vertical distribution of ozone at the terminator on Mars,insu-01380327,True
,Vertical distribution of ozone at the terminator on Mars,insu-01485449,True
,XPS of isolated nanoparticles,cea-02358548,True
,XPS of isolated nanoparticles,cea-02358547,True
,l'esprit des villes,halshs-01277459,True
,l'esprit des villes,halshs-01277461,True
